Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2019,CHO,58,2019-02-22,1,WAS,W,123,110,46,96,.479,13,33,.394,18,22,.818,11,53,26,7,6,14,20,42,97,.433,10,39,.256,16,18,.889,11,43,24,6,6,13,20
2019,CHO,59,2019-02-23,1,BRK,L,115,117,39,86,.453,12,35,.343,25,30,.833,12,42,15,4,5,12,23,40,87,.460,17,43,.395,20,26,.769,11,42,23,5,6,13,26
2019,CHO,60,2019-02-25,1,GSW,L,110,121,40,91,.440,7,33,.212,23,26,.885,9,38,23,13,6,12,11,48,95,.505,14,41,.341,11,13,.846,13,49,35,9,8,15,18
2019,CHO,61,2019-02-27,1,HOU,L,113,118,39,83,.470,12,33,.364,23,27,.852,8,48,25,9,5,18,22,42,91,.462,13,39,.333,21,24,.875,7,37,23,11,3,10,22
2019,CHO,62,2019-03-01,0,BRK,W,123,112,50,94,.532,9,21,.429,14,17,.824,10,40,24,6,4,14,25,44,86,.512,10,32,.313,14,18,.778,7,37,27,2,5,17,19
2019,CHO,63,2019-03-03,1,POR,L,108,118,37,83,.446,14,33,.424,20,23,.870,4,35,25,7,5,12,21,43,96,.448,11,32,.344,21,23,.913,13,48,26,9,3,11,23
2019,CHO,64,2019-03-06,1,MIA,L,84,91,30,82,.366,14,36,.389,10,15,.667,10,40,22,7,4,21,19,38,90,.422,9,26,.346,6,11,.545,17,51,19,10,7,18,16
2019,CHO,65,2019-03-08,1,WAS,W,112,111,40,96,.417,14,41,.341,18,20,.900,18,52,24,7,8,14,18,40,86,.465,9,27,.333,22,26,.846,13,46,28,8,5,14,19
2019,CHO,66,2019-03-09,0,MIL,L,114,131,44,93,.473,15,39,.385,11,14,.786,6,35,25,4,2,13,24,44,90,.489,17,44,.386,26,30,.867,14,55,27,9,2,13,17
2019,CHO,67,2019-03-11,0,HOU,L,106,118,38,89,.427,16,41,.390,14,15,.933,7,39,23,4,4,12,20,38,91,.418,17,43,.395,25,27,.926,12,55,25,7,4,14,17
2019,CHO,68,2019-03-15,0,WAS,W,116,110,46,101,.455,14,31,.452,10,12,.833,15,46,18,11,7,12,17,41,84,.488,13,34,.382,15,19,.789,8,45,25,8,5,17,14
2019,CHO,69,2019-03-17,0,MIA,L,75,93,26,83,.313,7,36,.194,16,18,.889,11,44,11,6,5,13,19,34,86,.395,13,33,.394,12,19,.632,15,55,25,6,7,12,21
2019,CHO,70,2019-03-19,1,PHI,L,114,118,36,83,.434,9,35,.257,33,44,.750,10,46,16,3,2,9,22,43,86,.500,11,32,.344,21,28,.750,6,44,29,5,4,7,27
