Season,Team,G,Date,Home,Opp,W/L,Tm_Pts,Opp_Pts,Tm_FG,Tm_FGA,Tm_FG%,Tm_3P,Tm_3PA,Tm_3P%,Tm_FT,Tm_FTA,Tm_FT%,Tm_ORB,Tm_TRB,Tm_AST,Tm_STL,Tm_BLK,Tm_TOV,Tm_PF,OppFG,OppFGA,OppFG%,Opp3P,Opp3PA,Opp3P%,OppFT,OppFTA,OppFT%,OppORB,OppTRB,OppAST,OppSTL,OppBLK,OppTOV,OppPF
2025,UTA,16,2024-11-23,1,NYK,W,121,106,44,87,.506,19,34,.559,14,19,.737,9,52,30,4,4,18,19,39,100,.390,17,51,.333,11,12,.917,11,40,25,10,10,9,19
2025,UTA,17,2024-11-26,1,SAS,L,115,128,43,84,.512,13,35,.371,16,20,.800,10,41,24,6,4,21,20,45,93,.484,18,48,.375,20,26,.769,13,39,30,12,5,10,17
2025,UTA,18,2024-11-27,1,DEN,L,103,122,38,90,.422,16,43,.372,11,18,.611,21,47,25,7,5,19,17,46,84,.548,11,33,.333,19,23,.826,10,39,30,10,8,11,14
2025,UTA,19,2024-11-30,1,DAL,L,94,106,34,95,.358,9,39,.231,17,21,.810,19,53,20,10,7,15,14,41,90,.456,15,39,.385,9,15,.600,12,48,30,12,6,15,21
2025,UTA,20,2024-12-01,1,LAL,L,104,105,40,79,.506,14,40,.350,10,16,.625,8,44,27,4,4,15,19,39,88,.443,7,33,.212,20,25,.800,10,42,23,7,4,5,18
2025,UTA,21,2024-12-03,0,OKC,L,106,133,38,70,.543,13,35,.371,17,22,.773,11,36,21,3,6,29,14,53,102,.520,17,47,.362,10,11,.909,15,34,32,18,3,8,23
2025,UTA,22,2024-12-06,0,POR,W,141,99,53,96,.552,14,32,.438,21,23,.913,11,61,34,6,11,14,17,37,95,.389,14,47,.298,11,17,.647,6,34,23,4,7,11,22
2025,UTA,23,2024-12-08,0,SAC,L,97,141,31,80,.388,15,42,.357,20,21,.952,9,38,21,6,6,20,17,57,100,.570,22,44,.500,5,8,.625,9,43,39,10,7,8,17
2025,UTA,24,2024-12-13,1,PHO,L,126,134,43,77,.558,22,39,.564,18,22,.818,6,34,30,5,6,15,17,47,89,.528,22,45,.489,18,20,.900,9,37,36,10,7,8,18
2025,UTA,25,2024-12-16,0,LAC,L,107,144,36,80,.450,13,39,.333,22,30,.733,10,35,22,8,3,23,20,49,82,.598,21,39,.538,25,32,.781,7,41,28,13,6,16,20
